datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24
26.09.2021;Wahl zum Deutschen Bundestag;06411000;860;00860 - Ehem. Auß. Zinn-Sch.;1;1;525;432;0;957;325;3;5;320;5;320;74;60;101;85;35;33;30;46;44;45;12;23;0;3;4;1;9;8;0;1;0;0;0;0;0;0;1;1;0;1;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;870;00870 - Ehem. Auß. Zinn-Sch.;1;1;423;259;0;682;263;0;2;261;2;261;42;38;90;87;35;33;42;44;36;37;5;3;0;4;7;1;0;2;0;2;0;2;0;2;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;880;00880 - Zinn-Schule, Brechtstr.;1;1;825;508;0;1333;534;6;7;527;8;526;130;105;163;157;57;60;44;64;76;66;22;23;0;13;11;4;12;4;0;3;0;2;0;0;0;1;2;0;0;1;8;7;0;1;0;0;0;0;0;0;0;0;0;12;0;3;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;890;00890 - Zinn-Schule, Brechtstr.;1;1;621;622;0;1243;374;2;6;368;3;371;77;69;103;90;47;57;47;50;50;54;30;24;0;3;4;3;6;2;0;1;0;0;0;1;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;11;0;3;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;900;00900 - Frankensteinschule;1;1;633;567;0;1200;551;7;6;545;4;547;137;99;125;120;18;20;46;83;172;159;12;20;0;1;5;4;8;6;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;2;0;0;0;2;0;0;0;1;0;0;0;8;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;910;00910 - Andersenschule;1;1;419;269;0;688;294;3;2;292;1;293;70;55;79;78;10;16;22;27;69;70;24;23;0;2;4;2;4;3;0;0;0;0;0;2;0;0;2;0;0;0;5;2;0;1;0;0;0;0;0;1;0;2;0;4;0;5;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;920;00920 - Andersenschule;1;1;596;368;0;964;388;2;2;386;4;384;79;62;106;119;51;53;39;39;71;51;11;18;0;7;14;3;6;6;0;2;0;1;0;0;0;2;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;1;0;3;0;8;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;930;00930 - Andersenschule;1;1;495;320;0;815;326;5;3;323;4;322;62;59;91;81;30;29;26;27;72;66;19;25;0;7;7;4;7;5;0;0;0;0;0;2;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;1;0;0;0;5;0;6;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;940;00940 - Gutenbergschule;1;1;563;335;0;898;416;2;3;413;3;413;99;85;118;116;28;29;31;33;98;91;15;25;0;5;9;2;4;1;0;3;0;0;0;2;0;0;1;0;0;0;7;10;0;0;0;0;0;0;0;1;0;0;0;2;0;8;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;950;00950 - Gutenbergschule;1;1;491;499;0;990;384;3;4;380;2;382;62;51;103;108;22;24;29;40;120;101;22;29;0;5;3;1;4;4;0;2;0;0;0;0;0;0;2;2;0;0;12;10;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;960;00960 - Haus der Vereine;1;1;677;596;0;1273;510;11;2;508;4;506;122;105;118;98;35;35;46;66;130;120;22;37;0;5;7;5;8;3;0;8;0;0;0;1;0;0;0;0;0;0;19;13;0;0;0;0;0;1;0;0;0;1;0;1;0;7;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;970;00970 - Haus der Vereine;1;1;482;468;0;950;338;1;1;337;1;337;73;63;92;90;17;24;35;36;87;82;12;20;0;1;5;4;2;2;0;0;0;0;0;5;0;0;0;0;0;0;12;8;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;980;00980 - Ludwig-Schwamb-Schule;1;1;458;416;0;874;338;0;2;336;0;338;52;44;77;77;20;23;24;32;106;98;35;31;0;8;3;3;5;4;0;1;0;0;0;2;0;0;1;1;0;0;12;7;0;1;0;0;0;0;0;0;0;0;0;4;0;2;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;990;00990 - Ludwig-Schwamb-Schule;1;1;698;206;0;904;307;0;7;300;8;299;52;40;120;107;24;28;21;20;52;45;18;32;0;5;2;4;5;1;0;3;0;0;0;0;0;0;1;0;0;0;5;4;0;0;0;0;0;1;0;1;0;1;0;6;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;1000;01000 - Ludwig-Schwamb-Schule;1;1;592;353;0;945;393;13;4;389;3;390;75;59;121;108;34;38;31;39;87;83;23;25;0;5;6;0;5;2;0;7;0;2;0;0;0;0;1;1;0;1;4;5;0;0;0;0;0;0;0;1;0;0;0;3;0;11;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;1010;01010 - Ludwig-Schwamb-Schule;1;1;422;631;0;1053;343;4;4;339;1;342;94;75;80;86;20;24;30;43;92;80;9;16;0;1;7;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;1;0;0;0;0;0;0;0;0;0;1;0;10;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;1020;01020 - Haus der Vielfalt;1;1;614;182;0;796;299;1;6;293;6;293;61;51;73;63;47;49;30;33;38;45;23;28;0;4;9;4;7;6;0;2;0;0;0;0;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;2;0;2;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;1030;01030 - Haus der Vielfalt;1;1;777;230;0;1007;315;2;6;309;8;307;71;62;77;80;55;53;21;25;51;42;17;17;0;4;3;0;9;2;0;0;0;0;0;0;0;0;1;1;0;0;4;6;0;2;0;0;0;0;0;0;0;1;0;7;0;5;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;1040;01040 - Frankensteinschule;1;1;477;531;0;1008;373;3;2;371;0;373;103;73;60;59;18;22;58;94;86;78;16;19;0;1;6;2;3;0;0;0;0;0;0;4;0;0;0;0;0;0;17;16;0;0;0;0;0;0;0;1;0;0;0;0;0;4;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;1050;01050 - Frankensteinschule;1;1;425;422;0;847;325;6;3;322;0;325;100;73;63;66;25;27;24;39;81;75;16;21;0;3;4;0;2;1;0;1;0;0;0;2;0;0;0;0;0;0;6;3;0;8;0;0;0;0;0;1;0;1;0;1;0;3;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;91010;91010;1;1;0;0;0;0;909;909;8;901;4;905;127;102;174;153;20;23;94;108;371;347;64;70;0;12;26;16;8;7;0;5;0;2;0;1;0;4;0;0;0;0;8;8;0;0;0;0;0;0;0;2;0;0;0;14;0;31;9;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;91011;91011;1;1;0;0;0;0;792;792;6;786;2;790;99;82;153;142;23;19;71;94;334;303;53;75;0;9;19;8;14;10;0;3;0;1;0;0;0;0;3;0;0;0;9;8;0;1;0;0;0;0;0;4;0;0;0;6;0;25;8;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;91012;91012;1;1;0;0;0;0;876;876;5;871;2;874;110;97;171;162;13;18;75;102;386;333;76;92;0;10;19;7;10;8;0;5;0;0;0;2;0;0;1;0;0;0;7;6;0;0;0;0;0;0;0;2;0;2;0;1;0;27;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;91013;91013;1;1;0;0;0;0;857;857;2;855;1;856;94;74;181;180;17;17;80;107;362;321;70;76;0;7;23;9;9;4;0;10;0;0;0;2;0;0;2;0;0;0;8;7;0;1;0;1;0;0;0;1;0;0;0;2;0;37;9;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;91014;91014;1;1;0;0;0;0;871;871;6;865;5;866;108;104;188;181;24;25;73;83;357;343;58;54;0;9;30;12;10;7;0;4;0;1;0;2;0;1;1;1;0;0;10;7;0;0;0;0;0;0;0;4;0;0;0;4;0;24;6;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;91015;91015;1;1;0;0;0;0;878;878;1;877;0;878;125;100;163;169;26;28;84;113;364;326;69;68;0;9;26;12;10;5;0;3;0;0;0;3;0;1;1;0;0;0;7;8;0;2;0;1;0;1;0;4;0;0;0;2;0;23;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;91016;91016;1;1;0;0;0;0;552;552;8;544;2;550;111;89;130;133;7;7;37;67;195;187;35;34;0;5;10;5;11;6;0;1;0;0;0;0;0;1;1;1;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;1;0;10;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;92020;92020;1;1;0;0;0;0;954;954;4;950;1;953;103;72;188;186;21;25;59;75;403;361;103;109;0;14;40;18;10;8;0;6;0;1;0;4;0;3;2;0;0;4;13;10;0;1;0;0;0;0;0;5;0;1;0;8;0;42;8;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;92021;92021;1;1;0;0;0;0;879;879;9;870;3;876;108;83;160;157;17;18;35;59;421;391;83;95;0;5;17;10;11;6;0;9;0;0;0;4;0;2;1;1;0;0;14;8;0;0;0;0;0;0;0;1;0;1;0;0;0;26;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;92022;92022;1;1;0;0;0;0;1008;1008;6;1002;2;1006;135;107;212;187;26;28;80;117;420;382;76;103;0;6;21;14;19;11;0;6;0;0;0;2;0;1;0;0;0;0;11;9;0;1;0;0;0;0;0;3;0;1;0;1;0;27;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;92023;92023;1;1;0;0;0;0;887;887;6;881;1;886;99;80;169;153;26;28;60;83;385;371;91;83;0;6;22;15;18;10;0;2;0;0;0;1;0;0;0;0;0;0;8;9;0;4;0;0;0;0;0;2;0;1;0;10;0;28;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;92024;92024;1;1;0;0;0;0;933;933;6;927;2;931;66;45;177;179;20;25;62;88;451;383;82;114;0;14;36;18;13;4;0;5;0;0;0;2;0;2;4;1;0;1;11;8;0;0;0;0;0;0;0;5;0;1;0;4;0;32;5;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;92025;92025;1;1;0;0;0;0;915;915;5;910;3;912;82;66;151;141;16;16;45;66;437;417;108;114;0;7;33;19;16;10;0;4;0;0;0;0;0;0;2;0;0;0;16;13;0;0;0;0;0;0;0;2;0;0;0;3;0;34;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;92026;92026;1;1;0;0;0;0;938;938;14;924;7;931;97;87;249;233;43;50;65;68;324;281;85;107;0;9;23;15;12;7;0;6;0;0;0;3;0;3;2;3;0;0;14;10;0;0;0;0;0;0;0;4;0;3;0;2;0;40;10;0
