datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A;A1;A2;A3;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25
08.10.2023;Landtagswahl 2023;06411000;94041;94041;1;1;0;0;0;0;444;444;2;442;2;442;162;160;112;136;98;52;5;11;26;31;11;18;6;4;;3;;2;;0;;0;;0;;1;;0;;0;;1;;0;1;1;;0;17;18;;4;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;94042;94042;1;1;0;0;0;0;607;607;1;606;3;604;145;140;178;192;150;102;34;35;26;33;26;27;8;8;;7;;8;;2;;2;;0;;1;;1;;1;;0;;1;0;0;;0;33;36;;8;6;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;94043;94043;1;1;0;0;0;0;571;571;6;565;2;569;116;124;156;192;179;92;30;35;10;19;23;36;17;13;;8;;3;;0;;0;;0;;6;;1;;0;;0;;2;0;0;;1;33;37;;0;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;94044;94044;1;1;0;0;0;0;665;665;2;663;0;665;93;94;234;243;169;88;45;51;24;27;31;40;14;11;;16;;4;;2;;4;;0;;4;;3;;1;;0;;2;4;3;;0;48;70;;2;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;94045;94045;1;1;0;0;0;0;409;409;2;407;0;409;93;93;129;151;110;69;11;17;17;14;19;29;10;9;;3;;3;;0;;1;;0;;2;;0;;0;;0;;0;0;0;;0;16;18;;0;2;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;95050;95050;1;1;0;0;0;0;521;521;7;514;2;519;134;142;124;138;140;84;30;39;20;23;25;30;8;7;;12;;3;;2;;1;;0;;0;;1;;1;;0;;0;1;2;;0;30;34;;0;2;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;95051;95051;1;1;0;0;0;0;436;436;5;431;1;435;72;76;126;133;105;58;36;37;25;28;24;26;12;8;;4;;12;;1;;1;;0;;3;;3;;0;;1;;5;0;0;;0;26;35;;4;5;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;95052;95052;1;1;0;0;0;0;572;572;11;561;11;561;132;132;135;138;143;95;43;43;26;37;16;23;21;10;;11;;3;;0;;2;;1;;6;;1;;1;;1;;4;1;0;;0;41;52;;1;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;95053;95053;1;1;0;0;0;0;649;649;5;644;2;647;152;160;148;148;178;131;55;58;28;35;20;27;23;15;;14;;6;;7;;1;;0;;3;;1;;0;;1;;3;0;0;;0;37;35;;2;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;95054;95054;1;1;0;0;0;0;488;488;6;482;3;485;121;125;77;99;172;126;41;44;19;27;15;20;14;6;;10;;6;;3;;0;;1;;0;;0;;1;;0;;1;1;0;;0;18;15;;1;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;95055;95055;1;1;0;0;0;0;416;416;7;409;7;409;103;113;59;68;144;99;50;62;22;23;6;9;7;6;;5;;2;;1;;1;;0;;1;;1;;1;;0;;1;1;0;;0;13;12;;4;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;96060;96060;1;1;0;0;0;0;494;494;5;489;4;490;137;134;76;88;114;103;61;61;34;37;13;15;11;13;;7;4;0;4;2;;0;;0;;2;3;2;;1;0;0;;1;;1;;0;27;23;;0;5;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;96061;96061;1;1;0;0;0;0;317;317;2;315;0;317;78;96;48;59;89;77;47;40;14;9;5;7;12;8;;2;1;0;0;1;;1;;0;;0;5;4;;1;0;0;;0;;0;;0;15;11;;1;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;96062;96062;1;1;0;0;0;0;343;343;3;340;1;342;88;86;62;74;110;94;25;30;16;21;9;7;8;5;;3;4;3;2;1;;2;;0;;1;3;1;;0;0;0;;1;;0;;0;13;12;;1;0;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;96063;96063;1;1;0;0;0;0;510;510;6;504;5;505;165;162;94;96;124;100;36;39;19;24;14;19;9;7;;8;5;4;2;4;;0;;0;;3;3;4;;1;1;0;;1;;0;;0;29;32;;1;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;96064;96064;1;1;0;0;0;0;484;484;3;481;1;483;146;155;80;88;133;102;44;50;27;31;13;11;4;4;;7;9;6;1;0;;1;;0;;3;3;2;;1;0;0;;1;;0;;0;20;20;;1;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;96065;96065;1;1;0;0;0;0;493;493;7;486;3;490;142;154;80;91;140;110;43;44;22;20;15;19;9;8;;8;8;8;3;1;;2;;0;;1;2;3;;1;1;0;;1;;0;;0;18;17;;2;3;;;;;;;
