Wahl_Abkürzung,gebiet-nr,Stadtteil,Partei,Prozent,Stimmen
LTW23,1030,Eberstadt,AfD,40.12539184952978,128
LTW23,1040,Eberstadt,AfD,10.647181628392484,51
LTW23,1050,Eberstadt,AfD,8.732394366197182,31
LTW23,91010,,AfD,4.672897196261682,25
LTW23,91011,,AfD,7.226107226107226,31
LTW23,91012,,AfD,6.211180124223603,30
LTW23,91013,,AfD,4.139433551198257,19
LTW23,91014,,AfD,7.4074074074074066,38
LTW23,91015,,AfD,6.629834254143646,36
LTW23,91016,,AfD,2.572347266881029,8
LTW23,92020,,AfD,6.689536878216123,39
LTW23,92021,,AfD,5.482041587901701,29
LTW23,92022,,AfD,6.5810593900481535,41
LTW23,92023,,AfD,10.261569416498995,51
LTW23,92024,,AfD,5.44464609800363,30
LTW23,92025,,AfD,3.8387715930902107,20
LTW23,92026,,AfD,10.69609507640068,63
LTW23,92027,,AfD,5.112781954887218,34
LTW23,92028,,AfD,7.5396825396825395,38
LTW23,93030,,AfD,4.901960784313726,30
LTW23,93031,,AfD,6.127450980392156,25
LTW23,93032,,AfD,5.843071786310518,35
LTW23,93033,,AfD,7.038123167155426,24
LTW23,93034,,AfD,6.927175843694494,39
LTW23,93035,,AfD,5.41871921182266,22
LTW23,93036,,AfD,8.527131782945736,33
LTW23,94040,,AfD,1.9027484143763214,9
LTW23,94041,,AfD,2.4774774774774775,11
LTW23,94042,,AfD,5.766062602965404,35
LTW23,94043,,AfD,6.129597197898424,35
LTW23,94044,,AfD,7.669172932330827,51
LTW23,94045,,AfD,4.156479217603912,17
LTW23,95050,,AfD,7.485604606525912,39
LTW23,95051,,AfD,8.486238532110093,37
LTW23,95052,,AfD,7.517482517482517,43
LTW23,95053,,AfD,8.936825885978427,58
LTW23,95054,,AfD,9.01639344262295,44
LTW23,95055,,AfD,14.903846153846153,62
LTW23,96060,,AfD,12.348178137651821,61
LTW23,96061,,AfD,12.618296529968454,40
LTW23,96062,,AfD,8.746355685131196,30
LTW23,96063,,AfD,7.647058823529412,39
LTW23,96064,,AfD,10.330578512396695,50
LTW23,96065,,AfD,8.924949290060852,44
LTW23,96066,,AfD,12.708333333333332,61
LTW23,97070,,AfD,9.51417004048583,47
LTW23,97071,,AfD,7.311827956989248,34
LTW23,97072,,AfD,11.507936507936508,58
LTW23,97073,,AfD,11.751662971175167,53
LTW23,97074,,AfD,6.470588235294119,33
LTW23,97075,,AfD,7.191011235955057,32
LTW23,97076,,AfD,6.51685393258427,29
LTW23,97077,,AfD,10.920770877944326,51
LTW23,98080,,AfD,11.518324607329843,66
LTW23,98081,,AfD,11.11111111111111,58
LTW23,99090,,AfD,9.11111111111111,41
LTW23,99091,,AfD,11.837455830388691,67
LTW23,99092,,AfD,9.640831758034027,51
EU24,10,DA-Mitte,AfD,4.361370716510903,14
EU24,20,DA-Mitte,AfD,5.7251908396946565,15
EU24,30,DA-Mitte,AfD,4.119850187265917,11
EU24,40,DA-Mitte,AfD,8.561643835616438,25
EU24,50,DA-Mitte,AfD,10.828025477707007,34
EU24,60,DA-Nord,AfD,7.59493670886076,30
EU24,90,DA-Nord,AfD,5.660377358490567,30
EU24,100,DA-Nord,AfD,4.5608108108108105,27
EU24,120,DA-Nord,AfD,23.394495412844037,51
EU24,130,DA-Nord,AfD,2.671118530884808,16
EU24,140,DA-Nord,AfD,4.266666666666667,16
EU24,150,DA-Nord,AfD,4.545454545454546,20
EU24,180,DA-Nord,AfD,7.303370786516854,39
EU24,190,DA-Nord,AfD,6.0,27
EU24,200,DA-Nord,AfD,5.585106382978723,21
EU24,210,DA-Nord,AfD,7.264957264957266,34
EU24,220,DA-Nord,AfD,4.892367906066536,25
EU24,230,DA-Nord,AfD,8.620689655172415,45
EU24,240,DA-Nord,AfD,9.13884007029877,52
EU24,250,DA-Nord,AfD,5.439330543933055,26
EU24,260,DA-Ost,AfD,7.860262008733625,36
EU24,270,DA-Ost,AfD,6.3444108761329305,42
EU24,280,DA-Ost,AfD,3.2200357781753133,18
EU24,290,DA-Ost,AfD,7.4074074074074066,28
EU24,310,DA-Ost,AfD,8.264462809917356,40
EU24,320,DA-Ost,AfD,6.587837837837837,39
EU24,330,DA-Ost,AfD,6.6907775768535265,37
EU24,340,DA-Ost,AfD,7.849829351535837,46
EU24,350,DA-Ost,AfD,7.400379506641366,39
EU24,370,DA-Nord,AfD,12.573673870333987,64
