wahl,gebiet-nr,gebiet-name,Insgesamt,CDU,Grüne,SPD,AfD,FDP,Linke,Anteil_SPD,Anteil_CDU,Anteil_Grüne,Anteil_FDP,Anteil_AfD,Anteil_Linke,CDU_Anteil,CDU_Prozent,Grüne_Anteil,Grüne_Prozent,SPD_Anteil,SPD_Prozent,AfD_Anteil,AfD_Prozent,FDP_Anteil,FDP_Prozent,Linke_Anteil,Linke_Prozent,Wahl_Abkürzung,Stadtteil
Wahl zum Deutschen Bundestag,330,00330 - Abendgymnasium,469,37,146,98,28,39,64,,,,,,,0.07889125799573561,7.889125799573561,0.31130063965884863,31.13006396588486,0.208955223880597,20.8955223880597,0.05970149253731343,5.970149253731343,0.08315565031982942,8.315565031982942,0.13646055437100213,13.646055437100213,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,340,00340 - Elly-Heuss-Knapp-Schule,414,62,114,75,31,53,32,,,,,,,0.1497584541062802,14.975845410628018,0.2753623188405797,27.536231884057973,0.18115942028985507,18.115942028985508,0.0748792270531401,7.487922705314009,0.1280193236714976,12.80193236714976,0.07729468599033816,7.729468599033816,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,350,00350 - Elly-Heuss-Knapp-Schule,494,49,139,122,23,62,49,,,,,,,0.09919028340080972,9.919028340080972,0.2813765182186235,28.13765182186235,0.24696356275303644,24.696356275303643,0.0465587044534413,4.65587044534413,0.12550607287449392,12.550607287449392,0.09919028340080972,9.919028340080972,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,370,00370 - Käthe-Kollwitz-Schule,497,68,75,157,53,40,37,,,,,,,0.13682092555331993,13.682092555331993,0.15090543259557343,15.090543259557343,0.3158953722334004,31.58953722334004,0.10663983903420524,10.663983903420524,0.08048289738430583,8.048289738430583,0.0744466800804829,7.44466800804829,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,380,00380 - Käthe-Kollwitz-Schule,309,29,87,53,23,57,17,,,,,,,0.09385113268608414,9.385113268608414,0.2815533980582524,28.155339805825243,0.1715210355987055,17.15210355987055,0.0744336569579288,7.443365695792881,0.18446601941747573,18.446601941747574,0.05501618122977346,5.501618122977346,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,390,00390 - Käthe-Kollwitz-Schule,471,71,77,115,39,61,34,,,,,,,0.15074309978768577,15.074309978768577,0.16348195329087048,16.348195329087048,0.24416135881104034,24.416135881104033,0.08280254777070063,8.280254777070063,0.12951167728237792,12.951167728237792,0.07218683651804671,7.218683651804671,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,411,00411 - Erich Kästner-Schule,327,22,143,61,15,17,42,,,,,,,0.0672782874617737,6.727828746177369,0.43730886850152906,43.730886850152906,0.18654434250764526,18.654434250764528,0.045871559633027525,4.587155963302752,0.05198776758409786,5.198776758409786,0.12844036697247707,12.844036697247708,BTW21,Kranichstein
Wahl zum Deutschen Bundestag,412,00412 - Erich Kästner-Schule,262,46,52,76,16,23,23,,,,,,,0.17557251908396945,17.557251908396946,0.1984732824427481,19.84732824427481,0.2900763358778626,29.00763358778626,0.061068702290076333,6.106870229007633,0.08778625954198473,8.778625954198473,0.08778625954198473,8.778625954198473,BTW21,Kranichstein
Wahl zum Deutschen Bundestag,413,00413 - Familienzentrum,249,33,53,59,21,25,26,,,,,,,0.13253012048192772,13.253012048192772,0.21285140562248997,21.285140562248998,0.23694779116465864,23.694779116465863,0.08433734939759036,8.433734939759036,0.10040160642570281,10.040160642570282,0.10441767068273092,10.441767068273093,BTW21,Kranichstein
Wahl zum Deutschen Bundestag,421,00421 - Erich Kästner-Schule,378,68,36,99,67,29,39,,,,,,,0.17989417989417988,17.989417989417987,0.09523809523809523,9.523809523809524,0.2619047619047619,26.190476190476193,0.17724867724867724,17.724867724867725,0.07671957671957672,7.671957671957672,0.10317460317460317,10.317460317460316,BTW21,Kranichstein
Wahl zum Deutschen Bundestag,422,00422 - Erich Kästner-Schule,290,50,53,69,19,31,25,,,,,,,0.1724137931034483,17.24137931034483,0.18275862068965518,18.275862068965516,0.23793103448275862,23.79310344827586,0.06551724137931035,6.551724137931035,0.10689655172413794,10.689655172413794,0.08620689655172414,8.620689655172415,BTW21,Kranichstein
Wahl zum Deutschen Bundestag,431,"00431 - Kinderhort, Jägertorstr.",414,70,68,84,44,30,38,,,,,,,0.16908212560386474,16.908212560386474,0.1642512077294686,16.425120772946862,0.2028985507246377,20.28985507246377,0.10628019323671498,10.628019323671497,0.07246376811594203,7.246376811594203,0.09178743961352658,9.178743961352657,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,432,00432 - Erich Kästner-Schule,400,78,65,106,43,36,33,,,,,,,0.195,19.5,0.1625,16.25,0.265,26.5,0.1075,10.75,0.09,9.0,0.0825,8.25,BTW21,Kranichstein
